Date,Year,Month,Day
2016-09-14,2016,9,14
2023-06-12,2023,6,12
2023-06-19,2023,6,19
2023-05-29,2023,5,29
2023-06-05,2023,6,5
2023-05-22,2023,5,22
2023-04-24,2023,4,24
2023-04-17,2023,4,17
2023-05-15,2023,5,15
2022-10-07,2022,10,7
2023-05-08,2023,5,8
2023-04-10,2023,4,10
2022-10-03,2022,10,3
2023-05-01,2023,5,1
2023-01-30,2023,1,30
2023-03-20,2023,3,20
2023-02-06,2023,2,6
2023-03-27,2023,3,27
2023-04-03,2023,4,3
2022-10-10,2022,10,10
2022-10-24,2022,10,24
2023-03-13,2023,3,13
2022-12-12,2022,12,12
2023-01-09,2023,1,9
2023-03-06,2023,3,6
2022-11-07,2022,11,7
2023-02-27,2023,2,27
2023-02-20,2023,2,20
2023-02-13,2023,2,13
2023-06-20,2023,6,20
2023-05-30,2023,5,30
2022-12-05,2022,12,5
2022-10-17,2022,10,17
2023-06-06,2023,6,6
2022-10-31,2022,10,31
2022-12-19,2022,12,19
2022-11-21,2022,11,21
2023-06-13,2023,6,13
2023-01-23,2023,1,23
2022-10-06,2022,10,6
2022-11-28,2022,11,28
2023-05-12,2023,5,12
2022-11-14,2022,11,14
2023-05-19,2023,5,19
2013-08-28,2013,8,28
2023-01-02,2023,1,2
2023-01-16,2023,1,16
2017-03-10,2017,3,10
2023-05-16,2023,5,16
2022-09-26,2022,9,26
2023-05-23,2023,5,23
2023-06-15,2023,6,15
2023-05-09,2023,5,9
2023-05-02,2023,5,2
2022-10-05,2022,10,5
2020-11-17,2020,11,17
2023-06-08,2023,6,8
2016-09-21,2016,9,21
2021-06-08,2021,6,8
2022-07-13,2022,7,13
2021-10-25,2021,10,25
2022-10-04,2022,10,4
2023-02-14,2023,2,14
2023-04-18,2023,4,18
2016-09-28,2016,9,28
2021-10-14,2021,10,14
2021-07-16,2021,7,16
2023-02-21,2023,2,21
2019-09-03,2019,9,3
2021-10-26,2021,10,26
2017-03-21,2017,3,21
2023-06-02,2023,6,2
2023-04-27,2023,4,27
2020-10-08,2020,10,8
2018-01-17,2018,1,17
2021-08-30,2021,8,30
2016-11-23,2016,11,23
2023-01-17,2023,1,17
2022-09-21,2022,9,21
2023-03-23,2023,3,23
2021-11-10,2021,11,10
2020-09-22,2020,9,22
2023-04-21,2023,4,21
2019-07-23,2019,7,23
2019-08-12,2019,8,12
2021-10-05,2021,10,5
2020-01-03,2020,1,3
2022-04-14,2022,4,14
2022-10-27,2022,10,27
2023-04-06,2023,4,6
2020-03-05,2020,3,5
2020-11-12,2020,11,12
2023-02-22,2023,2,22
2021-04-22,2021,4,22
2022-01-24,2022,1,24
2017-05-09,2017,5,9
2016-11-16,2016,11,16
2018-09-13,2018,9,13
2020-10-20,2020,10,20
2017-05-30,2017,5,30
2023-04-11,2023,4,11
2023-03-21,2023,3,21
2017-08-22,2017,8,22
2020-08-26,2020,8,26
2022-03-15,2022,3,15
2021-01-12,2021,1,12
2018-05-31,2018,5,31
2021-04-27,2021,4,27
2020-09-03,2020,9,3
2023-04-25,2023,4,25
2020-10-29,2020,10,29
2022-06-16,2022,6,16
2022-01-25,2022,1,25
2021-08-17,2021,8,17
2021-11-30,2021,11,30
2022-03-10,2022,3,10
2018-06-19,2018,6,19
2017-05-16,2017,5,16
2020-09-29,2020,9,29
2021-10-19,2021,10,19
2017-07-19,2017,7,19
2021-09-23,2021,9,23
2021-05-25,2021,5,25
2019-06-20,2019,6,20
2022-08-23,2022,8,23
